MAC Address,Status,Address,Model,Firmware,DHCP,HTTPS,Server,Warranty expiration,Host Name,IEEE 802.1X,Tags,UPnP Friendly Name,Warranty start
ACCC8E5F6244,OK,10.1.34.48:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,11/23/2019 (3Y),,Disabled,,AXIS M3045-V - ACCC8E5F6244,11/23/2016
ACCC8E5F6248,OK,10.1.34.51:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,11/23/2019 (3Y),,Disabled,,AXIS M3045-V - ACCC8E5F6248,11/23/2016
ACCC8E5F6880,OK,10.1.34.54:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,11/25/2019 (3Y),,Disabled,,AXIS M3045-V - ACCC8E5F6880,11/25/2016
ACCC8E6A8BE9,OK,10.1.34.60:443,AXIS M3007,6.50.5.8,No,Enabled,MSMGMT1,3/7/2020 (3Y),,Disabled,,AXIS M3007 - ACCC8E6A8BE9,3/7/2017
ACCC8E6A8E2F,OK,10.1.34.61:443,AXIS M3007,6.50.5.8,No,Enabled,MSMGMT1,3/15/2020 (3Y),,Disabled,,AXIS M3007 - ACCC8E6A8E2F,3/15/2017
ACCC8E6A8E10,OK,10.1.34.59:443,AXIS M3007,6.50.5.8,No,Enabled,MSMGMT1,2/22/2020 (3Y),,Disabled,,AXIS M3007 - ACCC8E6A8E10,2/22/2017
ACCC8E6B2BBF,OK,10.1.34.67:443,AXIS M3007,6.50.5.8,No,Enabled,MSMGMT1,11/24/2020 (3Y),,Disabled,,AXIS M3007 - ACCC8E6B2BBF,11/24/2017
ACCC8E8D0BBF,Not accessible,0.0.0.0:443,AXIS M3045-V,9.80.3.1,No,Enabled,MSMGMT1,10/26/2020 (3Y),,Disabled,LPD,AXIS M3045-V - ACCC8E8D0BBF,10/26/2017
ACCC8E8FC9D3,OK,10.1.34.68:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,2/7/2021 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E8FC9D3,2/7/2018
ACCC8E8FC9EB,OK,10.1.34.70:443,AXIS P3707-PE,6.50.5.18,No,Enabled,MSMGMT1,2/7/2021 (3Y),,Disabled,,AXIS P3707-PE - ACCC8E8FC9EB,2/7/2018
ACCC8E9C5035,OK,10.1.34.73:443,AXIS P3225-V Mk II,9.80.78,No,Enabled,MSMGMT1,5/5/2021 (3Y),,Disabled,,AXIS P3225-V Mk II - ACCC8E9C5035,5/5/2018
ACCC8E9C5036,OK,10.1.34.82:443,AXIS P3225-V Mk II,9.80.78,No,Enabled,MSMGMT1,5/5/2021 (3Y),,Disabled,,AXIS P3225-V Mk II - ACCC8E9C5036,5/5/2018
ACCC8E9CB76A,OK,10.1.34.83:443,AXIS P3225-V Mk II,9.80.78,No,Enabled,MSMGMT1,4/30/2021 (3Y),,Disabled,,AXIS P3225-V Mk II - ACCC8E9CB76A,4/30/2018
ACCC8E9E487D,Not accessible,10.1.34.95:80,AXIS M3025,5.51.7.8,No,Unsupported firmware,MSMGMT1,4/16/2021 (3Y),,Disabled,,AXIS M3025 - ACCC8E9E487D,4/16/2018
ACCC8E46D4AD,OK,10.1.34.28:443,AXIS P1427-LE,6.50.5.10,No,Enabled,MSMGMT1,3/31/2019 (3Y),,Disabled,,AXIS P1427-LE - ACCC8E46D4AD,3/31/2016
ACCC8E55E595,OK,10.1.34.57:443,AXIS P1427-LE,6.50.5.10,No,Enabled,MSMGMT1,9/7/2019 (3Y),,Disabled,,AXIS P1427-LE - ACCC8E55E595,9/7/2016
ACCC8E61EB5A,OK,10.1.34.8:443,AXIS P1427-LE,6.50.5.10,No,Enabled,MSMGMT1,3/31/2019 (3Y),,Disabled,,AXIS P1427-LE - ACCC8E61EB5A,3/31/2016
ACCC8E67A61C,OK,10.1.34.65:80,AXIS P3225-VE Mk II,9.80.78,No,Disabled,MSMGMT1,4/18/2020 (3Y),,Disabled,,AXIS P3225-VE Mk II - ACCC8E67A61C,4/18/2017
ACCC8E69CD77,OK,10.1.34.55:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,Info unavailable,,Disabled,,AXIS M3045-V - ACCC8E69CD77,Info unavailable
ACCC8E71FCC1,Not accessible,0.0.0.0:80,AXIS Q3708-PVE,6.55.9,No,Disabled,MSMGMT1,6/6/2021 (3Y),,Disabled,,AXIS Q3708-PVE - ACCC8E71FCC1,6/6/2018
ACCC8E80EBD9,OK,10.1.34.78:443,AXIS P3365,6.50.5.8,No,Enabled,MSMGMT1,11/8/2020 (3Y),,Disabled,,AXIS P3365 - ACCC8E80EBD9,11/8/2017
ACCC8E80EBDB,OK,10.1.34.75:443,AXIS P3365,6.50.5.8,No,Enabled,MSMGMT1,11/8/2020 (3Y),,Disabled,,AXIS P3365 - ACCC8E80EBDB,11/8/2017
ACCC8E80EBDC,OK,10.1.34.76:443,AXIS P3365,6.50.5.8,No,Enabled,MSMGMT1,11/8/2020 (3Y),,Disabled,,AXIS P3365 - ACCC8E80EBDC,11/8/2017
ACCC8E96CEBD,OK,10.1.34.84:80,AXIS P7214,5.51.7.8,No,Unsupported firmware,MSMGMT1,4/30/2021 (3Y),,Disabled,,AXIS P7214 - ACCC8E96CEBD,4/30/2018
ACCC8E96CEBE,OK,10.1.34.85:80,AXIS P7214,5.51.7.8,No,Unsupported firmware,MSMGMT1,4/30/2021 (3Y),,Disabled,,AXIS P7214 - ACCC8E96CEBE,4/30/2018
ACCC8E96CEE1,OK,10.1.34.100:80,AXIS P7214,5.51.7.8,No,Unsupported firmware,MSMGMT1,7/18/2021 (3Y),,Disabled,,AXIS P7214 - ACCC8E96CEE1,7/18/2018
ACCC8E507EB6,OK,10.1.34.46:443,AXIS P1405-E,6.50.5.8,No,Enabled,MSMGMT1,6/7/2019 (3Y),,Disabled,,AXIS P1405-E - ACCC8E507EB6,6/7/2016
ACCC8E630CDF,OK,10.1.34.39:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,7/30/2019 (3Y),,Disabled,,AXIS M3045-V - ACCC8E630CDF,7/30/2016
ACCC8E630CE2,OK,10.1.34.37:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,7/30/2019 (3Y),,Disabled,,AXIS M3045-V - ACCC8E630CE2,7/30/2016
